PERS,,,,,,,,,
sac-eng-ops-esx-01 (PERS01),,,,,,,,,
Host,IP address,Cent0S,CPU,RAM,Disk,Console,UserGroup,HostGroup,Network
sac-pers-abtest-web-01,10.68.32.20,5,4,4,100,sac-eng-ops-esx-03,dev:sysadmin,dev-root,app
sac-pers-apiserver-web-01,10.68.32.30,5,4,4,100,sac-eng-ops-esx-03,dev:sysadmin,dev-root,app
sac-pers-babar-web-01,10.68.32.40,6,4,4,100,sac-eng-ops-esx-03,dev:sysadmin,dev-root,app
sac-pers-catalog-web-01,10.68.32.50,6,8,8,100,sac-eng-ops-esx-03,dev:sysadmin,dev-root,app
sac-pers-catfin-web-01,10.68.32.60,6,4,4,100,sac-eng-ops-esx-03,dev:sysadmin,dev-root,app
sac-pers-cerebus-web-01,10.68.32.70,6,4,4,100,sac-eng-ops-esx-03,dev:sysadmin,dev-root,app
sac-pers-color-web-01,10.68.32.80,6,4,4,100,sac-eng-ops-esx-03,dev:sysadmin,dev-root,app
sac-pers-elysium-web-01,10.68.32.90,6,8,8,100,sac-eng-ops-esx-03,dev:sysadmin,dev-root,app
sac-pers-inventory-web-01,10.68.32.100,6,4,4,100,sac-eng-ops-esx-03,dev:sysadmin,dev-root,app
sac-pers-mktapp-web-01,10.68.32.110,5,4,4,100,sac-eng-ops-esx-03,dev:sysadmin,dev-root,app
sac-pers-mobile-web-01,10.68.32.120,5,4,4,100,sac-eng-ops-esx-03,dev:sysadmin,dev-root,app
sac-pers-nexus-web-01,10.68.32.130,5,8,8,100,sac-eng-ops-esx-03,dev:sysadmin,dev-root,app
sac-pers-nexus-rsq-01,10.68.32.140,5,8,8,100,sac-eng-ops-esx-03,dev:sysadmin,dev-root,app
sac-pers-avail-web-01,10.68.32.150,5,4,4,100,sac-eng-ops-esx-03,dev:sysadmin,dev-root,app
sac-pers-searchpro-web-01,10.68.32.160,5,8,12,100,sac-eng-ops-esx-03,dev:sysadmin,dev-root,app
sac-pers-searchpro-data-01,10.68.64.20,5,8,12,150,sac-eng-ops-esx-03,dev:sysadmin,dev-root,db
sac-pers-imp-web-01,10.68.32.170,6,8,8,100,sac-eng-ops-esx-03,dev:sysadmin,dev-root,app
sac-pers-stor-web-01,10.68.32.180,5,8,12,100,sac-eng-ops-esx-03,dev:sysadmin,dev-root,app
sac-pers-stor-mq-01,10.68.32.190,5,8,12,100,sac-eng-ops-esx-03,dev:sysadmin,dev-root,app
sac-pers-stor-db-01,10.68.64.40,6,8,16,250,sac-eng-ops-esx-03,dev:sysadmin,dev-root,db
sac-pers-vp-web-01,10.68.32.200,5,8,8,100,sac-eng-ops-esx-03,dev:sysadmin,dev-root,app
sac-pers-vp-rsq-01,10.68.32.210,5,8,8,100,sac-eng-ops-esx-03,dev:sysadmin,dev-root,app
sac-pers-soa-web-01,10.68.32.220,6,8,8,100,sac-eng-ops-esx-03,dev:sysadmin,dev-root,app
,,,,,,,,,
,,,,,,,,,
sac-eng-ops-esx-02 (PERS02),,,,,,,,,
Host,,Cent0S,CPU,RAM,Disk,Console,UserGroup,HostGroup,Network
sac-pers-abtest-web-02,10.68.32.21,5,4,4,100,sac-eng-ops-esx-04,dev:sysadmin,dev-root,app
sac-pers-apiserver-web-02,10.68.32.31,5,4,4,100,sac-eng-ops-esx-04,dev:sysadmin,dev-root,app
sac-pers-babar-web-02,10.68.32.41,6,4,4,100,sac-eng-ops-esx-04,dev:sysadmin,dev-root,app
sac-pers-catalog-web-02,10.68.32.51,6,8,8,100,sac-eng-ops-esx-04,dev:sysadmin,dev-root,app
sac-pers-catfin-web-02,10.68.32.61,6,4,4,100,sac-eng-ops-esx-04,dev:sysadmin,dev-root,app
sac-pers-cerebus-web-02,10.68.32.71,6,4,4,100,sac-eng-ops-esx-04,dev:sysadmin,dev-root,app
sac-pers-color-web-02,10.68.32.81,6,4,4,100,sac-eng-ops-esx-04,dev:sysadmin,dev-root,app
sac-pers-elysium-web-02,10.68.32.91,6,8,8,100,sac-eng-ops-esx-04,dev:sysadmin,dev-root,app
sac-pers-inventory-web-02,10.68.32.101,6,4,4,100,sac-eng-ops-esx-04,dev:sysadmin,dev-root,app
sac-pers-mktapp-web-02,10.68.32.111,5,4,4,100,sac-eng-ops-esx-04,dev:sysadmin,dev-root,app
