sac-ops-adm-01.unix.newokl.com,10.120.2.61
sac-ops-adm-01-con.newokl.com,10.120.2.161
sac-ops-adm-02.unix.newokl.com,10.120.2.62
sac-ops-adm-02-con.newokl.com,10.120.2.162
sac-ops-adm-03.unix.newokl.com,10.120.2.63
sac-ops-adm-03-con.newokl.com,10.120.2.163
sfo-rel-bld-02.unix.newokl.com,10.110.11.175
sfo-rel-bld-02-con.newokl.com,10.110.2.170
sfo-load-imp-web-02.unix.newokl.com,10.110.11.159
sfo-load-imp-web-02-con.newokl.com,10.110.2.156
sfo-load-imp-web-01.unix.newokl.com,10.110.11.78
sfo-load-imp-web-01-con.newokl.com,10.110.2.78
sfo-cloud-ops-esx-07.unix.newokl.com,10.110.11.98
sfo-cloud-ops-esx-07-con.newokl.com,10.110.2.58
sfo-load-elysium-web-01.unix.newokl.com,10.110.11.61
sfo-load-elysium-web-01-con.newokl.com,10.110.2.183
sfo-cloud-ops-esx-08.unix.newokl.com,10.110.11.99
sfo-cloud-ops-esx-08-con.newokl.com,10.11.2.99
sfo-cloud-ops-esx-11.unix.newokl.com,10.110.11.109
sfo-cloud-ops-esx-11-con.newokl.com,10.110.2.109
sfo-cloud-ops-esx-13.unix.newokl.com,10.110.11.114
sfo-cloud-ops-esx-13-con.newokl.com,10.110.2.114
sac-prod-web-09.unix.newokl.com,10.120.3.19
sac-prod-web-09-con.newokl.com,10.120.2.119
sac-prod-web-10.unix.newokl.com,10.120.3.20
sac-prod-web-10-con.newokl.com,10.120.2.120
sac-prod-web-11.unix.newokl.com,10.120.3.21
sac-prod-web-11-con.newokl.com,10.120.2.121
sac-prod-web-12.unix.newokl.com,10.120.3.22
sac-prod-web-12-con.newokl.com,10.120.2.122
sac-prod-web-13.unix.newokl.com,10.120.3.23
sac-prod-web-13-con.newokl.com,10.120.2.123
sac-prod-web-14.unix.newokl.com,10.120.3.24
sac-prod-web-14-con.newokl.com,10.120.2.124
sac-prod-web-15.unix.newokl.com,10.120.3.25
sac-prod-web-15-con.newokl.com,10.120.2.125
sac-prod-mq-01.unix.newokl.com,10.120.3.41
sac-prod-mq-01-con.newokl.com,10.120.2.141
sfo-cloud-ops-esx-12.unix.newokl.com,10.110.11.113
sfo-cloud-ops-esx-12-con.newokl.com,10.110.2.113
sac-prod-app-01.unix.newokl.com,10.120.3.111
sac-prod-app-01-con.newokl.com,10.120.2.211
sfo-cloud-ops-esx-04.unix.newokl.com,10.110.11.95
sfo-cloud-ops-esx-04-con.newokl.com,10.110.2.95
sfo-cloud-ops-esx-06.unix.newokl.com,10.110.11.97
sfo-cloud-ops-esx-06-con.newokl.com,10.110.2.57
sfo-cloud-ops-esx-05.unix.newokl.com,10.110.11.96
sfo-cloud-ops-esx-05-con.newokl.com,10.110.2.96
sfo-cloud-ops-esx-09.unix.newokl.com,10.110.11.104
sfo-cloud-ops-esx-09-con.newokl.com,10.110.2.104
sfo-test-it-esx-01.unix.newokl.com,10.110.11.81
sfo-test-it-esx-01-con.newokl.com,10.110.2.81
sac-prod-pweb-03.unix.newokl.com,10.120.3.73
sac-prod-pweb-03-con.newokl.com,10.120.2.173
sac-prod-papp-01.unix.newokl.com,10.120.3.91
sac-prod-papp-01-con.newokl.com,10.120.2.191
sac-prod-papp-02.unix.newokl.com,10.120.3.92
sac-prod-papp-02-con.newokl.com,10.120.2.192
